kodeprov,kodekab,nama,keyword
11,00,Aceh,BPS Provinsi Aceh
12,00,Sumatera Utara,BPS Provinsi Sumatera Utara
13,00,Sumatera Barat,BPS Provinsi Sumatera Barat
14,00,Riau,BPS Provinsi Riau
15,00,Jambi,BPS Provinsi Jambi
16,00,Sumatera Selatan,BPS Provinsi Sumatera Selatan
17,00,Bengkulu,BPS Provinsi Bengkulu
18,00,Lampung,BPS Provinsi Lampung
19,00,Kep. Bangka Belitung,BPS Provinsi Kep. Bangka Belitung
21,00,Kep. Riau,BPS Provinsi Kep. Riau
31,00,Dki Jakarta,BPS Provinsi Dki Jakarta
32,00,Jawa Barat,BPS Provinsi Jawa Barat
33,00,Jawa Tengah,BPS Provinsi Jawa Tengah
34,00,Di Yogyakarta,BPS Provinsi Di Yogyakarta
35,00,Jawa Timur,BPS Provinsi Jawa Timur
36,00,Banten,BPS Provinsi Banten
51,00,Bali,BPS Provinsi Bali
52,00,Nusa Tenggara Barat,BPS Provinsi Nusa Tenggara Barat
53,00,Nusa Tenggara Timur,BPS Provinsi Nusa Tenggara Timur
61,00,Kalimantan Barat,BPS Provinsi Kalimantan Barat
62,00,Kalimantan Tengah,BPS Provinsi Kalimantan Tengah
63,00,Kalimantan Selatan,BPS Provinsi Kalimantan Selatan
64,00,Kalimantan Timur,BPS Provinsi Kalimantan Timur
65,00,Kalimantan Utara,BPS Provinsi Kalimantan Utara
71,00,Sulawesi Utara,BPS Provinsi Sulawesi Utara
72,00,Sulawesi Tengah,BPS Provinsi Sulawesi Tengah
73,00,Sulawesi Selatan,BPS Provinsi Sulawesi Selatan
74,00,Sulawesi Tenggara,BPS Provinsi Sulawesi Tenggara
75,00,Gorontalo,BPS Provinsi Gorontalo
76,00,Sulawesi Barat,BPS Provinsi Sulawesi Barat
81,00,Maluku,BPS Provinsi Maluku
82,00,Maluku Utara,BPS Provinsi Maluku Utara
91,00,Papua Barat,BPS Provinsi Papua Barat
94,00,Papua,BPS Provinsi Papua
11,02,ACEH SINGKIL,BPS KABUPATEN ACEH SINGKIL
11,03,ACEH SELATAN,BPS KABUPATEN ACEH SELATAN
11,04,ACEH TENGGARA,BPS KABUPATEN ACEH TENGGARA
11,05,ACEH TIMUR,BPS KABUPATEN ACEH TIMUR
11,06,ACEH TENGAH,BPS KABUPATEN ACEH TENGAH
11,07,ACEH BARAT,BPS KABUPATEN ACEH BARAT
11,08,ACEH BESAR,BPS KABUPATEN ACEH BESAR
11,09,PIDIE,BPS KABUPATEN PIDIE
